"Single Spectrum_017_Spec.Data 1 1.10             "
"x       y           "
"[m<sup>-1</sup>]     [CCD cts]         "
3041.8936               -37.483447245911         
3249.1231               -37.8770090294979        
3456.2943               -37.6705926159122        
3663.4075               -37.564207995877         
3870.4624               -37.5578051786692        
4077.4593               -37.9514241550117        
4284.398                -37.0450049310893        
4491.2787               -38.0386075007173        
4698.1013               -36.732221866988         
4904.8658               -37.7258280299014        
5111.5724               -37.6194059832729        
5318.2209               -37.7130457332872        
5524.8115               -37.1066272737594        
5731.3442               -36.3002506046898        
5937.8189               -35.6938857291706        
6144.2357               -34.5874726441093        
6350.5947               -32.5810913464139        
6556.8958               -29.3747518391766        
6763.139                -24.1683641223973        
6969.3245               -18.5619581898914        
7175.4521               -12.8556240478436        
7381.522                -4.24922169006915        
7587.5342               4.25714888343184         
7793.4886               12.2635176695671         
7999.3853               25.1698546714289         
8205.2243               36.1762198890173         
8411.0057               37.5826033254247         
8616.7295               40.6889449806509         
8822.3956               41.9953448516038         
9028.0042               39.6016829444679         
9233.5552               41.7080192561508         
9439.0486               41.8144037866528         
9644.4846               42.1207465421583         
9849.863                38.8271075164827         
10055.184               41.5334667158107         
10260.447               39.2397741215883         
10465.653               37.1461397647388         
10670.802               38.4524736452621         
10875.893               36.7588057322351         
11080.927               35.365176056581          
11285.904               37.5715246182997         
11490.823               36.977831386468          
11695.685               35.0841963920093         
11900.49                32.0905296349234         
12105.237               33.796821084287          
12309.927               35.3031507710236         
12514.56                32.4095086951332         
12719.136               32.2158248566155         
12923.654               33.8221292245475         
13128.116               32.6284918607757         
13332.52                32.8347727034534         
13536.867               29.741111783504          
13741.157               30.4474391009276         
13945.391               25.9537546866473         
14149.567               25.0600484788165         
14353.686               28.2663705083587         
14557.748               28.9726907752738         
14761.753               26.6790092795618         
14965.701               29.3852760212225         
15169.592               26.9916110002563         
15373.426               27.8978842166628         
15577.204               26.0042157013657         
15780.924               27.7105253925181         
15984.588               23.9167833519665         
16188.195               23.623089548788          
16391.745               21.3293939829823         
16595.238               21.1356766545495         
16798.675               19.0419875944129         
17002.054               19.6482567407259         
17205.378               19.9545341862583         
17408.644               14.9608198382403         
17611.854               17.9671037585185         
17815.007               17.8734059161696         
18018.103               16.3796863111936         
18221.143               14.9859449745137         
18424.127               13.99222190613           
18627.053               14.9984970441959         
18829.923               12.404790450558          
19032.737               15.7110521252163         
19235.494               15.2173220372474         
19438.195               16.4236002175747         
19640.839               14.6298766352749         
19843.427               12.9361313212713         
20045.959               12.9423942755638         
20248.434               12.7486454672292         
20450.853               13.5548949271908         
20653.215               16.3611926245253         
20855.521               15.4674285901559         
21057.771               12.6736928240827         
21259.964               11.6799452953824         
21462.101               12.3862060349783         
21664.182               10.3924550428703         
21866.207               13.6986923190585         
22068.176               10.4049478635429         
22270.088               10.3111616454001         
22471.945               10.8174037264768         
22673.745               7.52365404492637         
22875.489               10.6298726316721         
23077.177               6.63610948671401         
23278.809               8.04236461005215         
23480.384               8.54859797076313         
23681.904               10.1548096306935         
23883.368               7.66103955892011         
24084.776               6.76729775544294         
24286.128               8.57351422026186         
24487.424               8.07973895337696         
24688.664               7.38595195478822         
24889.848               7.49220322449572         
25090.977               8.79841279342259         
25292.049               10.1046205997223         
25493.066               7.61083670524158         
25694.027               8.817061079057           
25894.932               7.92325372116853         
26095.781               8.52949463157632         
26296.575               6.23566384120343         
26497.312               8.64189128820354         
26697.994               9.24807703442303         
26898.621               11.254281079862          
27099.192               9.46049339359717         
27299.707               7.36671397562852         
27500.167               7.67290285687926         
27700.571               9.27908000642616         
27900.919               12.1852954242693         
28101.212               11.9914791413318         
28301.449               12.7976611266905         
28501.631               13.7038714112687         
28701.757               11.6100799641431         
28901.828               11.9162568162369         
29101.844               15.0224219675501         
29301.804               12.5286053871595         
29501.708               12.8347770750651         
29701.557               12.0409670621901         
29901.351               14.4471653485347         
30101.09                12.5533219340986         
30300.773               9.65952678795871         
30500.401               12.3656599410382         
30699.973               14.171871362414          
30899.491               15.5780111139324         
31098.953               15.584179133747          
31298.36                19.1903754527812         
31497.712               16.6965400710347         
31697.008               16.2027029575844         
31896.25                17.7088641742768         
32095.436               18.3150036592654         
32294.567               19.3211614434734         
32493.643               17.5273275269009         
32692.664               18.8334719095479         
32891.63                20.6396145914143         
33090.541               18.4457555725001         
33289.397               13.9519048528054         
33488.198               15.2580924323302         
33686.944               18.9641983110744         
33885.635               18.2703824890381         
34084.272               19.0765149971445         
34282.853               17.182635773547          
34481.379               16.988764849169          
34679.851               17.2949422549338         
34878.267               17.8010779289948         
35076.629               17.6072019331984         
35274.936               21.2133142366215         
35473.189               17.5194348701873         
35671.386               19.9255837720493         
35869.529               18.3317310040541         
36067.617               19.9378365352783         
36265.651               18.6439703966452         
36463.629               20.3501025263083         
36661.554               22.2561930170374         
36859.423               20.2623117760626         
37057.238               18.4684388652307         
37254.998               20.4745542536181         
37452.704               20.7806579721483         
37650.355               21.686789989898          
37847.952               20.3929103377904         
38045.494               17.8990189849022         
38242.982               18.6050859621567         
38440.415               20.2112212386308         
38637.794               17.7173248452476         
38835.118               18.7234267510838         
39032.388               19.6294969870627         
39229.603               17.135595522261          
39426.765               14.9417324185255         
39623.872               14.3477976140093         
39820.924               18.2539111087127         
40017.922               17.5599929335587         
40214.866               20.6660630885474         
40411.756               21.072171573679          
40608.592               19.3782483889532         
40805.373               17.1843235034469         
41002.1                 19.4904469480834         
41198.773               19.0965087228625         
41395.391               18.7025687968611         
41591.956               18.7086472319258         
41788.467               17.9147339971331         
41984.923               20.52083906156           
42181.325               20.1268924561295         
42377.674               18.4329542117651         
42573.968               17.6390342666201         
42770.208               17.4450926516179         
42966.394               19.2511493667583         
43162.527               17.9572244429649         
43358.605               18.9632878183908         
43554.629               17.9693495239595         
43750.6                 17.8754295905943         
43946.516               17.2814579564484         
44142.379               14.5875546833686         
44338.188               19.5936097404315         
44533.943               19.4996331276371         
44729.644               19.0056848449855         
44925.292               19.1117649233999         
45120.885               19.0177833010337         
45316.425               16.9238500397336         
45511.912               18.7298851394995         
45707.344               18.7359285384848         
45902.723               16.5419602985361         
46098.048               17.9480203887303         
46293.32                16.1540688399904         
46488.537               16.7600855904699         
46683.702               19.2661207329387         
46878.812               20.072144174627          
47073.87                17.3781660083046         
47268.873               19.8841961412016         
47463.823               18.8902246351647         
47658.72                19.8962514901938         
47853.563               18.1022866753656         
48048.352               21.3083201906802         
48243.089               23.114332097984          
48437.771               20.9203423045073         
48632.401               20.82638090302           
48826.977               21.4323778316753         
49021.499               22.2384330904734         
49215.968               20.6444167103374         
49410.384               20.3504386912676         
49604.747               20.8564490332637         
49799.056               22.1624477054025         
49993.312               18.3684647386074         
50187.515               18.8744701328783         
50381.665               21.2804938882152         
50575.761               20.8864759736948         
50769.804               23.4924564202405         
50963.795               21.1984652587754         
51157.731               19.3044923965299         
51351.615               24.5104479262735         
51545.446               25.3164818170833         
51739.224               23.422454068959          
51932.948               22.8284646509775         
52126.62                23.6344436249853         
52320.238               24.9404209291358         
52513.803               25.5463865943523         
52707.316               25.9523906515581         
52900.776               24.5583530698299         
53094.182               27.6643638182446         
53287.536               29.6703429586484         
53480.836               21.3763304291951         
53674.084               27.882306291731          
53867.279               26.4882605153328         
54060.421               26.9942331000008         
54253.511               30.200214076658          
54446.547               29.506173383458          
54639.531               28.7121510822473         
54832.462               31.4181271421026         
55025.34                35.7240815630239         
55218.166               35.8300243759344         
55410.939               35.7360055499111         
55603.659               36.6419350849537         
55796.326               38.1478929810623         
55988.941               41.2538792691604         
56181.503               38.6598039183243         
56374.013               36.2657869594776         
56566.47                38.7717383616969         
56758.874               36.2776881249822         
56951.226               38.9836462802568         
57143.525               41.3895627965974         
57335.772               44.0955177049273         
57527.966               46.2014409743232         
57720.108               44.8074126357085         
57912.198               44.813352689083          
58104.235               45.4192711035235         
58296.219               42.7251978790301         
58488.151               43.031173046526          
58680.031               41.9370766060112         
58871.859               41.7429985574856         
59063.634               41.6489488700261         
59255.356               43.1548775436326         
59447.027               39.4607946401517         
59638.645               35.9667200977368         
59830.211               37.0726739473112         
60021.725               44.0785961888749         
60213.186               39.1844967915046         
60404.596               40.4904058170469         
60595.953               46.2963132036552         
60787.258               45.4022589822529         
60978.511               42.6081831528398         
61169.711               41.8140556844926         
61360.86                42.1200066390582         
61551.957               44.225895985613          
61743.001               38.8317836932338         
61933.994               45.8376898237672         
62124.934               43.4436243153667         
62315.822               45.2495171989554         
62506.659               43.1554385054567         
62697.443               42.461328173024          
62888.176               41.5672062635039         
63078.857               40.3730927459731         
63269.485               40.2790075895084         
63460.062               39.5848908559561         
63650.587               40.5907825143932         
63841.06                39.9966925648197         
64031.482               40.9025510381586         
64221.851               43.0084678725637         
64412.169               45.6143331298812         
64602.435               43.0202367791881         
64792.649               43.1260988204843         
64982.811               39.7320092537698         
65172.922               43.2378881099679         
65362.981               44.0437553581552         
65552.988               43.1496109983319         
65742.944               54.9554750614211         
65932.848               54.4613475164996         
66122.701               55.0672483944908         
66312.501               50.4730876335479         
66502.251               44.6789653264409         
66691.949               46.8848414113233         
66881.595               42.1906958881949         
67071.189               34.9965487570557         
67260.733               33.5024100797525         
67450.224               26.4082897635153         
67639.664               26.5141278701907         
67829.053               22.5199843997786         
68018.391               18.3258793522792         
68207.677               19.931712696769          
68396.911               17.5375444332481         
68586.094               17.8434345926399         
68775.226               13.6492731749442         
68964.307               15.1551201801611         
69153.336               10.1609655773673         
69342.314               12.866819397486          
69531.24                10.9726416095941         
69720.116               14.0784622755379         
69908.94                12.5843013334712         
70097.713               8.49015881431702         
70286.435               11.5959747180754         
70475.105               10.1018090138231         
70663.725               9.70767176340667         
70852.293               8.81348290497949         
71040.81                8.71933246946496         
71229.276               8.425170456863           
71417.691               8.73098686717358         
71606.055               9.03680170039674         
71794.368               8.74263495653252         
71982.63                8.84843663558083         
72170.841               8.55426673754178         
72359.001               7.56008526241529         
72547.109               4.76591217927812         
72735.167               10.1716975499767         
72923.174               7.87752134358801         
73111.131               6.08334359103515         
73299.036               4.58915423047157         
73486.89                6.39495329282055         
73674.694               9.50079080900548         
73862.446               7.90656671717959         
74050.148               6.11238107918964         
74237.799               4.81819386411227         
74425.399               6.32399507194747         
74612.949               8.02980473361855         
74800.447               7.53560278727891         
74987.896               6.3413893256984          
75175.293               4.44716425610716         
75362.639               5.65296760942857         
75549.935               5.75873941658579         
75737.181               7.56456967757899         
75924.375               7.07035833056141         
76111.519               7.07614543737969         
76298.613               7.28189099803376         
76485.656               6.98768498160051         
76672.648               6.99346738807982         
76859.59                3.79923824839497         
77046.481               7.40504753162279         
77233.322               5.81079526868636         
77420.112               4.7165914286626          
77606.852               6.82234604247463         
77793.542               6.42814911012263         
77980.181               8.33389060068309         
78166.769               7.33966051415619         
78353.308               2.64546891238852         
78539.795               3.95122570261004         
78726.233               5.95699097759074         
78912.62                5.76274467548399         
79098.957               4.3684868272131          
79285.243               4.6742874018549          
79471.48                6.18004646125577         
79657.666               5.78578394356918         
79843.801               4.29153984879522         
80029.887               4.09728423878038         
80215.922               3.90302705167813         
80401.907               4.3087983184118          
80587.842               4.81454803898129         
80773.727               3.82029621338665         
80959.562               4.92602284162783         
81145.347               3.53179792370498         
81331.081               5.23755142869468         
81516.766               3.44325341844341         
81702.4                 2.94899383110481         
81887.984               1.85475269760212         
82073.519               3.86049004885853         
82259.003               5.06623582302755         
82444.438               5.37196008195567         
82629.822               5.07770276379641         
82815.156               3.083433899473           
83000.441               4.38915351990872         
