x       y           
[m<sup>-1</sup>]     [CCD cts]         
16349.387  1032.5            
16446.642  1038.3            
16543.885  1034            
16641.114  1023.4            
16738.331  1020.1            
16835.534  1021.3            
16932.725  1023.3            
17029.902  1015.5            
17127.067  1017.2            
17224.218  1020.1            
17321.357  1009.6            
17418.482  999.90002            
17515.595  1004.9            
17612.694  1007.2            
17709.781  1006.1            
17806.855  1003.9            
17903.915  1006.5            
18000.963  1003.6            
18097.997  1003            
18195.019  1013.3            
18292.027  1004.8            
18389.023  1007.2            
18486.006  1003.3            
18582.975  1006.7            
18679.932  1016            
18776.876  1016            
18873.806  1013            
18970.724  1006.3            
19067.629  1003.7            
19164.521  1015.6            
19261.4  1016.7            
19358.266  1020.1            
19455.118  1008.8            
19551.958  1016.4            
19648.785  1023.7            
19745.599  1019.7            
19842.4  1017.9            
19939.189  1026.1            
20035.964  1013.9            
20132.726  1007.7            
20229.475  1011.3            
20326.211  1023.2            
20422.935  1020.6            
20519.645  1020.7            
20616.342  1029.2            
20713.027  1040.1            
20809.698  1032.9            
20906.357  1036.5            
21003.003  1033            
21099.635  1033.4            
21196.255  1032.1            
21292.862  1034.5            
21389.456  1044.4            
21486.037  1038.5            
21582.605  1039.6            
21679.16  1033.4            
21775.702  1044.8            
21872.231  1035.4            
21968.748  1028.7            
22065.251  1030.7            
22161.741  1028.5            
22258.219  1012.7            
22354.683  1007.3            
22451.135  1009.4            
22547.574  1003.1            
22644  1001.5            
22740.413  1001.5            
22836.813  998            
22933.2  996.29999            
23029.574  982.79999            
23125.935  980.20001            
23222.283  980            
23318.619  983.40002            
23414.941  982.29999            
23511.251  974.59998            
23607.548  973.90002            
23703.832  972.70001            
23800.103  968.79999            
23896.361  969.40002            
23992.606  972.90002            
24088.838  968            
24185.057  965            
24281.264  964.59998            
24377.457  958.59998            
24473.638  952.90002            
24569.806  957.79999            
24665.961  958.40002            
24762.103  959.20001            
24858.232  959.90002            
24954.348  954.40002            
25050.451  956            
25146.542  954.79999            
25242.619  956.5            
25338.684  951.70001            
25434.736  946.40002            
25530.775  946.20001            
25626.801  948.29999            
25722.814  953            
25818.815  956.40002            
25914.802  951.90002            
26010.777  944.40002            
26106.739  944.5            
26202.687  949.70001            
26298.623  947.90002            
26394.547  943.09998            
26490.457  948.20001            
26586.354  943.59998            
26682.239  950.59998            
26778.111  946.29999            
26873.97  944.59998            
26969.816  941.79999            
27065.649  940.79999            
27161.469  949.5            
27257.277  955.5            
27353.071  947.29999            
27448.853  941.59998            
27544.622  939.20001            
27640.378  942.59998            
27736.121  942.59998            
27831.852  942            
27927.569  941.59998            
28023.274  947.70001            
28118.966  950.40002            
28214.645  949.90002            
28310.311  945.79999            
28405.965  949.09998            
